,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
55,2,ăbſŏʹrb,L.,,,v.,21.0,20,absorb
56,3,ăbſŏʹrbents,,,,n.,22.0,20,absorbents
57,2,ăbſtaiʹn,L.,,,v.,23.0,20,abstain
58,4,ăbſtēʹmĭous,L.,,,a.,24.0,20,abstemious
59,3,ăbſtĕʹrgent,L.,,,n.,25.0,20,abstergent
60,3,ăʹbſtĭnĕnce,L.,,,n.,26.0,20,abstinence
61,2,ăbſtrăʹct,L.,,,v.,27.0,20,abstract
62,2,ăbſtrūʹſe,L.,,,a.,28.0,20,abstruse
63,2,ăbſŭʹrd,L.,,,a.,29.0,20,absurd
64,3,abŭʹndănce,,,,n.,30.0,20,abundance
65,2,abūʹſe,L.,,,v.,31.0,20,abuse
66,2,ăbyʹſs,G.,,,n.,32.0,20,abyss
67,3,ăbyſſīʹnes,,,,n.,33.0,20,abyssines
68,4,ăcăʹdĕmy,G.,,,n.,34.0,20,academy
69,5,ăcănāʹce_o_us,G.,,,a.,35.0,20,acanaceous
70,2,ăccēʹde,L.,,,v.,36.0,20,accede
71,4,ăccĕʹlĕrāte,L.,,,v.,37.0,20,accelerate
72,2,ăcʹcĕnt,L.,,,n.,38.0,20,accent
73,2,ăccĕʹpt,L.,,,v.,39.0,20,accept
74,4,ăccĕʹptable,,,,a.,40.0,20,acceptable
75,5,ăccĕptāʹtion,L.,,,n.,41.0,20,acceptation
76,2,ăccĕʹſs,L.,,,n.,42.0,20,access
77,4,ăccĕʹſſĭble,,,,a.,43.0,20,accessible
78,4,ăccĕʹſſion,L.,,,n.,44.0,20,accession
79,4,ăʹccĕſſāry,F.,,,n.,45.0,20,accessary
80,3,ăʹccĭdent,L.,,,n.,46.0,20,accident
81,5,ăcclămāʹtion,L.,,,n.,47.0,20,acclamation
82,3,ăccloʹyed,,,,a.,48.0,20,accloyed
83,4,ăccŏʹmmodāte,L.,,,v.,49.0,20,accommodate
84,4,ăccŏʹmpăny,F.,,,v.,50.0,20,accompany
85,3,ăccŏʹmpliſh,F.,,,v.,51.0,20,accomplish
86,4,ăccŏʹmplĭſhed,,,,a.,52.0,20,accomplished
87,3,ăccŏʹmplice,F.,,,n.,53.0,20,accomplice
88,2,ăccoʹmpt,,,,v.,54.0,20,accompt
89,2,ăccoʹrd,F.,,,v.,55.0,20,accord
90,2,ăccŏʹſt,F.,,,v.,56.0,20,accost
91,2,ăccȯu̇ʹnt,F.,,,n.,57.0,20,accouont
92,4,ăccȯu̇ʹntable,,,,a.,58.0,20,accouontable
93,3,ăccȯu̇ʹntănt,,,,n.,59.0,20,accouontant
94,3,ăccȯu̇ʹtre,F.,,,v.,60.0,20,accouotre
95,4,ăccȯu̇ʹtrements,F.,,,n.,61.0,20,accouotrements
96,2,ăccreʹw,F.,,,v.,62.0,20,accrew
97,4,ăccuʹmūlăte,L.,,,v.,63.0,20,accumulate
98,4,ăʹccūracy,L.,,,n.,64.0,20,accuracy
99,3,ăccŭʹrſed,,,,a.,65.0,20,accursed
100,2,ăccūʹſe,L.,,,v.,66.0,20,accuse
101,5,ăccūſāʹtion,L.,,,n.,67.0,20,accusation
102,4,ăccūʹſātive,,,,n.,68.0,20,accusative
103,3,ăccŭʹſtom,F.,,,v.,69.0,20,accustom
104,4,ace˘ʹrbĭty,L.,,,n.,70.0,20,acerbity
105,3,ăc_h_āʹtes,G.,,,n.,71.0,20,achates
106,1,āc_he_,,,,n.,72.0,20,ache
107,3,ăʹc_h_ĕron,G.,,,n.,73.0,20,acheron
108,2,ăʹcid,L.,,,a.,2.0,21,acid
109,2,ăʹcids,,,,n.,3.0,21,acids
110,4,ăc_k_nŏ_w_lĕdgment,,nbSyll>1 et pas d'accent tonic,,n.,4.0,21,acknowledgment
111,3,ăʹconīte,G.,,,n.,5.0,21,aconite
112,2,ăʹcorn,,,,n.,6.0,21,acorn
113,3,ăcȯu̇ʹſtics,G.,,,n.,7.0,21,acouostics
114,2,ăcquaiʹnt,F.,,,v.,8.0,21,acquaint
115,3,ăcquaĭʹntănce,,,,n.,9.0,21,acquaintance
116,3,acquĭe˘ʹſ_c__e_,L.,,,v.,10.0,21,acquiesce
117,2,ăcquīʹre,L.,,,v.,11.0,21,acquire
118,5,ăcquĭſĭʹtion,L.,,,n.,12.0,21,acquisition
119,2,ăcquĭʹſts,,,,n.,13.0,21,acquists
120,2,ăcquĭʹt,F.,,,v.,14.0,21,acquit
121,3,ăcquĭʹttal,F.,,,n.,15.0,21,acquittal
122,3,ăcquĭʹttănce,F.,,,n.,16.0,21,acquittance
123,2,āʹcre,,,,n.,17.0,21,acre
124,4,ăʹcrĭmony,L.,,,n.,18.0,21,acrimony
125,4,ăcrōʹnical,,,,a.,19.0,21,acronical
126,3,ăcrŏʹſtic,G.,,,n.,20.0,21,acrostic
127,1,ăct,L.,,,v.,21.0,21,act
128,3,ăʹction,L.,,,n.,22.0,21,action
129,5,ăʹctionable,,,,a.,23.0,21,actionable
130,2,ăʹctĭve,L.,,,a.,24.0,21,active
131,4,ăctĭʹvĭty,L.,,,n.,25.0,21,activity
132,2,ăʹctor,L.,,,n.,26.0,21,actor
133,2,ăʹctrĕſs,,,,n.,27.0,21,actress
134,3,ăʹctūal,F.,,,a.,28.0,21,actual
135,4,ăʹctūāry,L.,,,n.,29.0,21,actuary
136,3,ăʹctūāte,L.,,,v.,30.0,21,actuate
137,2,acūʹte,L.,,,a.,31.0,21,acute
138,2,āʹdāge,L.,,,n.,32.0,21,adage
139,4,adāʹgĭo,,,,a.,33.0,21,adagio
140,3,ăʹdămant,L.,,,n.,34.0,21,adamant
141,4,ădămăʹntĭne,L.,,,a.,35.0,21,adamantine
142,3,aʹdămītes,,,,n.,36.0,21,adamites
143,2,adăʹpt,L.,,,v.,37.0,21,adapt
144,3,adăʹpted,,,,v.,38.0,21,adapted
145,2,āʹdar,,,,n.,39.0,21,adar
146,1,ădd,L.,,,v.,40.0,21,add
147,2,ăʹdder,,,,n.,41.0,21,adder
148,2,ăʹddĭce,,,,n.,42.0,21,addice
149,2,ăddĭʹct,L.,,,v.,43.0,21,addict
150,4,ăʹddĭtăment,L.,,,n.,44.0,21,additament
151,4,ăddĭʹtion,L.,,,n.,45.0,21,addition
152,5,ăddĭʹtional,,,,a.,46.0,21,additional
153,2,ăʹddle,,,,a.,47.0,21,addle
154,2,ăddrĕʹſs,F.,,,n.,48.0,21,address
155,3,ăddūʹcent,L.,,,a.,49.0,21,adducent
156,3,ăddŭʹctors,L.,,,n.,50.0,21,adductors
157,3,ăʹdĕquāte,L.,,,a.,51.0,21,adequate
158,4,ăʹdĕquāt_e_neſs,,,,n.,52.0,21,adequateness
159,3,ădfĕʹcted,,,,a.,53.0,21,adfected
160,2,ădhēre,L.,nbSyll>1 et pas d'accent tonic,,v.,54.0,21,adhere
161,3,ădhēʹrĕnce,L.,,,n.,55.0,21,adherence
162,3,ădhēʹrent,L.,,,n.,56.0,21,adherent
163,4,ădhēʹſion,L.,,,n.,57.0,21,adhesion
164,3,ădjāʹcent,L.,,,a.,58.0,21,adjacent
165,3,ăʹdjĕctive,L.,,,n.,59.0,21,adjective
166,2,adĭeuʹ,F.,,,p.,60.0,21,adieu
167,2,ădjoiʹn,L.,,,v.,61.0,21,adjoin
168,3,ădj_o_ŭʹrnment,F.,,,n.,62.0,21,adjournment
169,2,ădjŭʹdge,L.,,,v.,63.0,21,adjudge
170,6,ădjūdĭcāʹtion,L.,,,n.,64.0,21,adjudication
171,2,ăʹdjŭnct,L.,,,n.,65.0,21,adjunct
172,2,ădjūʹre,L.,,,v.,66.0,21,adjure
173,2,ădjŭʹſt,F.,,,v.,67.0,21,adjust
174,3,ăʹdjūtant,L.,,,n.,68.0,21,adjutant
175,4,ădmĭʹnĭſt_e_r,L.,,,v.,69.0,21,administer
176,6,ădmĭnĭſtrātion,L.,nbSyll>1 et pas d'accent tonic,,n.,70.0,21,administration
177,5,ădmĭnĭſtrāʹtor,,,,n.,71.0,21,administrator
178,5,ăʹdmĭnĭſtrāʹtrix,,,,n.,72.0,21,administratrix
179,3,ăʹdmĭrăl,L.,,,n.,73.0,21,admiral
180,4,ăʹdmĭrălty,,,,n.,2.0,22,admiralty
181,5,ădmĭrāʹtion,L.,,,n.,3.0,22,admiration
182,2,ădmīʹre,L.,,,v.,4.0,22,admire
183,3,ădmĭʹttănce,L.,,,n.,5.0,22,admittance
184,2,ădmĭʹt,L.,,,v.,6.0,22,admit
185,3,ădmŏʹnĭſh,L.,,,v.,7.0,22,admonish
186,5,ădmŏnĭʹtion,L.,,,n.,8.0,22,admonition
187,4,ădŏlĕʹſcĕnce,L.,,,n.,9.0,22,adolescence
188,4,ădŏʹption,L.,,,n.,10.0,22,adoption
189,4,ădōʹrable,,,,a.,11.0,22,adorable
190,2,ădōʹre,L.,,,v.,12.0,22,adore
191,2,ădŏʹrn,L.,,,v.,13.0,22,adorn
192,2,ădroiʹt,F.,,,a.,14.0,22,adroit
193,5,ădſcĭtĭʹti_o_us,L.,,,a.,15.0,22,adscititious
194,2,ădvăʹnce,F.,,,v.,16.0,22,advance
195,3,ădvăʹnc_e_ment,F.,,,n.,17.0,22,advancement
196,3,ădvăʹntage,F.,,,n.,18.0,22,advantage
197,2,ăʹdvĕnt,L.,,,n.,19.0,22,advent
198,5,ădvĕntĭʹti_o_us,L.,,,a.,20.0,22,adventitious
199,3,ădvĕʹntŭre,F.,,,n.,21.0,22,adventure
200,4,ădvĕʹntŭr_o_us,,,,a.,22.0,22,adventurous
201,2,ăʹdverb,L.,,,n.,23.0,22,adverb
202,4,ăʹdvĕrſăry,L.,,,n.,24.0,22,adversary
203,2,ăʹdvĕrſe,L.,,,a.,25.0,22,adverse
204,4,ădvĕʹrſity,L.,,,n.,26.0,22,adversity
205,2,ădvĕʹrt,L.,,,v.,27.0,22,advert
206,4,ădvĕʹrtĕncy,,,,n.,28.0,22,advertency
207,3,ădvĕrtĭʹſe,L.,,,v.,29.0,22,advertise
208,2,ădvīʹce,F.,,,n.,30.0,22,advice
209,2,ădvīʹſe,,,,v.,31.0,22,advise
210,5,ădūlāʹtion,L.,,,n.,32.0,22,adulation
211,5,ăʹdūlătory,L.,,,a.,33.0,22,adulatory
212,2,adŭʹlt,L.,,,a.,34.0,22,adult
213,4,adŭʹlte˘rāte,L.,,,v.,35.0,22,adulterate
214,4,adŭʹlte˘rer,,,,n.,36.0,22,adulterer
215,4,adŭʹlte˘reſs,,,,n.,37.0,22,adulteress
216,4,adŭʹlte˘ry,L.,,,n.,38.0,22,adultery
217,3,ăʹdvŏcāte,L.,,,n.,39.0,22,advocate
218,3,adʹvȯẇeeʹ,F.,,,n.,40.0,22,advowee
219,3,ădvȯẇſon,,nbSyll>1 et pas d'accent tonic,,n.,41.0,22,advowson
220,2,ădŭʹſt,L.,,,a.,42.0,22,adust
221,4,ădŭʹſtĭble,,,,a.,43.0,22,adustible
222,3,ăʹdy̆tum,G.,,,n.,44.0,22,adyotum
223,3,ænĭʹgma,,,,n.,45.0,22,ænigma
224,4,āe˘ʹrĭal,G.,,,a.,46.0,22,aerial
225,4,æthe˘ʹrĭal,G.,,,a.,47.0,22,ætherial
226,5,ăffăbĭʹlĭty,L.,,,n.,48.0,22,affability
227,2,ăffaiʹr,F.,,,n.,49.0,22,affair
228,2,affe˘ʹct,L.,,,v.,50.0,22,affect
229,5,ăffĕctāʹtion,L.,,,n.,51.0,22,affectation
230,3,ăffĕʹcted,,,,a.,52.0,22,affected
231,4,ăffĕʹction,L.,,,n.,53.0,22,affection
232,5,ăffĕʹctionāte,,,,a.,54.0,22,affectionate
233,3,ăffĕʹtto,,,,a.,55.0,22,affetto
234,3,ăffiʹănce,L.,,,n.,56.0,22,affiance
235,4,ăffĭdāʹvit,,,,n.,57.0,22,affidavit
236,4,ăffĭʹnĭʹty,L.,,,n.,58.0,22,affinity
237,2,ăffĭrm,L.,nbSyll>1 et pas d'accent tonic,,v.,59.0,22,affirm
238,5,ăffĭrmāʹtion,L.,,,n.,60.0,22,affirmation
239,4,ăffĭʹrmătive,L.,,,a.,61.0,22,affirmative
240,2,affĭʹx,L.,,,v.,62.0,22,affix
241,4,ăfflāʹtion,L.,,,n.,63.0,22,afflation
242,2,ăfflĭʹct,L.,,,v.,64.0,22,afflict
243,4,ăfflĭʹction,L.,,,n.,65.0,22,affliction
244,3,ăfflĭʹctive,,,,a.,66.0,22,afflictive
245,3,ăfflūĕnce,L.,nbSyll>1 et pas d'accent tonic,,n.,67.0,22,affluence
246,3,ăʹfflūĕnt,L.,,,a.,68.0,22,affluent
247,2,ăʹfflŭx,L.,,,n.,69.0,22,afflux
248,2,ăffoʹrd,,,,v.,70.0,22,afford
249,2,ăffraiʹd,,,,v.,71.0,22,affraid
250,2,ăffraʹy,F.,,,n.,72.0,22,affray
251,3,ăʹfrĭcā,,,,n.,73.0,22,africa
252,2,affrīʹ_gh_t,,,,v.,2.0,23,affright
253,2,ăffrŏʹnt,F.,,,v.,3.0,23,affront
254,3,ăffrŏʹntive,,,,a.,4.0,23,affrontive
255,4,ăffūʹſion,L.,,,n.,5.0,23,affusion
256,1,ăft,,,,p.,6.0,23,aft
257,2,ăʹft_e_r,,,,p.,7.0,23,after
258,3,ăfternooʹn,,,,n.,8.0,23,afternoon
259,2,āʹgā,,,,n.,9.0,23,aga
260,2,agăʹſt,,,,a.,10.0,23,agast
261,2,ăʹgate,G.,,,n.,11.0,23,agate
262,1,āge,,,,n.,12.0,23,age
263,3,āʹge˘ncy,L.,,,n.,13.0,23,agency
264,2,āʹgent,L.,,,n.,14.0,23,agent
265,4,ăgglŏʹmĕrāte,L.,,,v.,15.0,23,agglomerate
266,4,ăgglūʹtĭnāte,L.,,,v.,16.0,23,agglutinate
267,3,ăʹggrăndīze,F.,,,v.,17.0,23,aggrandize
268,3,ăʹggrăvāte,L.,,,v.,18.0,23,aggravate
269,5,ăggrăvāʹtion,L.,,,n.,19.0,23,aggravation
270,3,ăʹggrĕgāte,L.,,,v.,20.0,23,aggregate
271,2,ăggrĕʹſs,L.,,,v.,21.0,23,aggress
272,3,ăggrĕʹſſor,,,,n.,22.0,23,aggressor
273,2,ăggrieʹve,,,,n.,23.0,23,aggrieve
274,2,ăʹgĭle,L.,,,a.,24.0,23,agile
275,4,ăgĭʹlĭty,L.,,,n.,25.0,23,agility
276,3,ăʹgĭo,,,,n.,26.0,23,agio
277,3,ăgĭʹſtment,L.,,,n.,27.0,23,agistment
278,3,ăʹgĭtāte,L.,,,v.,28.0,23,agitate
279,5,ăgĭtāʹtion,L.,,,n.,29.0,23,agitation
280,4,ăgĭtāʹtor,L.,,,n.,30.0,23,agitator
281,2,ăʹgnail,,,,n.,31.0,23,agnail
282,4,ăgnāʹtion,L.,,,n.,32.0,23,agnation
283,3,ăʹgŏny,G.,,,n.,33.0,23,agony
284,2,ăgreeʹ,F.,,,v.,34.0,23,agree
285,4,ăgreeʹable,F.,,,a.,35.0,23,agreeable
286,3,ăgreeʹment,,,,n.,36.0,23,agreement
287,4,ăʹgrĭcŭltŭre,L.,,,n.,37.0,23,agriculture
288,2,ăgrieʹve,F.,,,v.,38.0,23,agrieve
289,2,agrȯu̇ʹnd,,,,a.,39.0,23,agrouond
290,2,āʹgūe,F.,,,n.,40.0,23,ague
291,3,ăʹgūiſh,,,,a.,41.0,23,aguish
292,1,aid,,,,v.,42.0,23,aid
293,1,ail,,,,v.,43.0,23,ail
294,1,aim,,,,v.,44.0,23,aim
295,1,air,,,,n.,45.0,23,air
296,3,aiʹrĭneſs,,,,n.,46.0,23,airiness
297,2,aiʹry,,,pas de {POS} indiquée dans le dictionnaire.,,47.0,23,airy
298,4,ălăbăʹſt_e_r,,,,n.,48.0,23,alabaster
299,4,alăʹcrĭty,,,,n.,49.0,23,alacrity
300,3,ălāmōʹde,,,,n.,50.0,23,alamode
301,2,alăʹrm,F.,,,n.,51.0,23,alarm
302,2,ălaʹy,,,,n.,52.0,23,alay
303,3,ăʹlbĭon,L.,,,n.,53.0,23,albion
304,2,ălcāʹde,,,,n.,54.0,23,alcade
305,3,ăʹlcăhol,,,,n.,55.0,23,alcahol
306,4,ăʹlcăhŏlīze,,,,v.,56.0,23,alcaholize
307,6,ălcălĭzāʹtion,,,,n.,57.0,23,alcalization
308,3,ăʹlchymy,,,,n.,58.0,23,alchymy
309,3,ăʹlcŏran,,,,n.,59.0,23,alcoran
310,2,ăʹlcōve,F.,,,n.,60.0,23,alcove
311,2,ăʹld_e_r,,,,n.,61.0,23,alder
312,3,ăʹldĕrmăn,,,,n.,62.0,23,alderman
313,1,āle,,,,n.,63.0,23,ale
314,3,ale-cŏnner,,nbSyll>1 et pas d'accent tonic,,n.,64.0,23,ale-conner
315,3,ălĕʹcto,,,,n.,65.0,23,alecto
316,6,alĕʹctry̆ŏmăncy,G.,,,n.,66.0,23,alectryoomancy
317,3,āʹlĕgăr,,,,n.,67.0,23,alegar
318,2,aʹl_e_hoof,,,,n.,68.0,23,alehoof
319,4,alexăʹndrĭne,,,,n.,69.0,23,alexandrine
320,5,alexĭphăʹrmics,,,,n.,70.0,23,alexipharmics
321,3,ăʹlgĕbrā,,,,n.,71.0,23,algebra
322,4,ălgĕbraʹiſt,,,,n.,72.0,23,algebraist
323,3,ăʹlgorĭthm,,,,n.,73.0,23,algorithm
324,4,alhŏʹllăntīde,,,,n.,2.0,24,alhollantide
325,3,ăʹlĭas,L.,,,p.,3.0,24,alias
326,3,ăʹlĭen,L.,,,n.,4.0,24,alien
327,4,ăʹlĭenāte,,,,v.,5.0,24,alienate
328,6,ălĭenāʹtion,,,,n.,6.0,24,alienation
329,3,ăʹlĭment,L.,,,n.,7.0,24,aliment
330,5,ălĭmĕʹntary,,,,a.,8.0,24,alimentary
331,4,ăʹlĭmŏny,,,,n.,9.0,24,alimony
332,3,ăʹlĭquănt,L.,,,n.,10.0,24,aliquant
333,3,ăʹlĭquot,L.,,,n.,11.0,24,aliquot
334,4,ălĭſăʹnd_e_rs,,,,n.,12.0,24,alisanders
335,3,ăʹlkăhĕſt,,,,n.,13.0,24,alkahest
336,3,ăʹlkăly,,,,n.,14.0,24,alkaly
337,2,ăllaʹy,F.,,,n.,15.0,24,allay
338,2,ăllĕʹdge,L.,,,v.,16.0,24,alledge
339,5,ăllēgāʹtion,L.,,,n.,17.0,24,allegation
340,4,ăllĕʹgĭ_a_nce,L.,,,n.,18.0,24,allegiance
341,5,ăllēgŏʹrical,G.,,,a.,19.0,24,allegorical
342,4,ăllēgorīʹze,,,,v.,20.0,24,allegorize
343,4,ăʹllĕgŏry,G.,,,n.,21.0,24,allegory
344,3,ăllēʹgro,,,,n.,22.0,24,allegro
345,4,ăllĕʹvĭāte,L.,,,v.,23.0,24,alleviate
346,2,ăʹlley,F.,,,n.,24.0,24,alley
347,3,ăllīʹance,F.,,,n.,25.0,24,alliance
348,2,ăllīʹ_e_s,F.,,,n.,26.0,24,allies
349,5,ăllĭgāʹtion,L.,,,n.,27.0,24,alligation
350,4,ăllĭgāʹtor,,,,n.,28.0,24,alligator
351,4,allōʹdĭal,,,,a.,29.0,24,allodial
352,2,allŏʹnge,,,,n.,30.0,24,allonge
353,2,allŏʹt,,,,v.,31.0,24,allot
354,2,allȯẇ,F.,nbSyll>1 et pas d'accent tonic,,v.,32.0,24,allow
355,3,allȯẇănce,,nbSyll>1 et pas d'accent tonic,,n.,33.0,24,allowance
356,2,allūʹde,L.,,,v.,34.0,24,allude
357,2,ăʹllŭm,,,,n.,35.0,24,allum
358,4,allūʹmĭnāte,F.,,,v.,36.0,24,alluminate
359,2,allūre,,nbSyll>1 et pas d'accent tonic,,v.,37.0,24,allure
360,3,allūʹr_e_ment,,,,n.,38.0,24,allurement
361,4,allūʹſion,L.,,,n.,39.0,24,allusion
362,3,ăʹlmănăc,,,,n.,40.0,24,almanac
363,2,ăʹlmŏnd,,,,n.,41.0,24,almond
364,3,ăʹlmŏner,,,,n.,42.0,24,almoner
365,1,alms,,,,n.,43.0,24,alms
366,3,ăʹlŏès,,,,n.,44.0,24,aloes
367,2,alŏʹft,,,,p.,45.0,24,aloft
368,2,alooʹf,,,,p.,46.0,24,aloof
369,4,ălŏʹpĕcy,G.,,,n.,47.0,24,alopecy
370,2,alȯu̇d,,nbSyll>1 et pas d'accent tonic,,p.,48.0,24,alouod
371,3,ăʹlphăbĕt,G.,,,n.,49.0,24,alphabet
372,5,alphăbĕʹtĭcal,G.,,,a.,50.0,24,alphabetical
373,2,aʹlt_a_r,,,,n.,51.0,24,altar
374,2,aʹlt_e_r,L.,,,v.,52.0,24,alter
375,5,alte˘rāʹtion,L.,,,n.,53.0,24,alteration
376,4,aʹltĕrătives,,,,n.,54.0,24,alteratives
377,5,alte˘rcāʹtion,L.,,,n.,55.0,24,altercation
378,3,alte˘ʹrnāte,L.,,,a.,56.0,24,alternate
379,5,alte˘rnāʹtion,L.,,,n.,57.0,24,alternation
380,3,alteʹrnative,,,,n.,58.0,24,alternative
381,5,altĕʹrnătĭvely,,,,p.,59.0,24,alternatively
382,4,altĭʹme˘try,L.,,,n.,60.0,24,altimetry
383,3,aʹltĭtude,L.,,,n.,61.0,24,altitude
384,2,aʹltŭs,,,,n.,62.0,24,altus
385,3,alūʹde˘ls,,,,n.,63.0,24,aludels
386,2,ăʹlum,G.,,,n.,64.0,24,alum
387,2,āmaiʹn,,,,p.,65.0,24,amain
388,4,amăʹlgămāte,,,,v.,66.0,24,amalgamate
389,6,amălgămaʹtion,,,,n.,67.0,24,amalgamation
390,5,amănūĕʹnſis,L.,,,n.,68.0,24,amanuensis
391,2,amăʹſs,F.,,,v.,69.0,24,amass
392,4,ăʹmătŏry,L.,,,n.,70.0,24,amatory
393,2,amāʹze,,,,v.,71.0,24,amaze
394,3,aʹmăzons,G.,,,n.,72.0,24,amazons
395,3,ambāʹgès,L.,,,n.,73.0,24,ambages
396,5,ambărvāʹlĭā,L.,,,n.,2.0,25,ambarvalia
397,4,ămbăʹſſădor,F.,,,n.,3.0,25,ambassador
398,4,ambăʹſſadreſs,,,,n.,4.0,25,ambassadress
399,2,ăʹmb_e_r,,,,n.,5.0,25,amber
400,3,ăʹmbĕrgrēſe,,,,n.,6.0,25,ambergrese
401,4,ămbĭdĕʹxt_e_r,L.,,,n.,7.0,25,ambidexter
402,4,ămbĭdĕʹxtr_o_us,L.,,,a.,8.0,25,ambidextrous
403,3,ăʹmbĭĕnt,L.,,,a.,9.0,25,ambient
404,5,ambĭfāʹrĭ_o_us,L.,,,a.,10.0,25,ambifarious
405,5,ambĭgūʹĭty,L.,,,n.,11.0,25,ambiguity
406,4,ambĭʹgu_o_us,L.,,,a.,12.0,25,ambiguous
407,2,ăʹmbit,L.,,,n.,13.0,25,ambit
408,4,ămbĭʹtion,L.,,,n.,14.0,25,ambition
409,4,ămbĭʹti_o_us,,,,a.,15.0,25,ambitious
410,2,ăʹmble,F.,,,v.,16.0,25,amble
411,3,ăʹmblygon,G.,,,n.,17.0,25,amblygon
412,5,amblygōʹnĭal,G.,,,a.,18.0,25,amblygonial
413,4,ămbrōʹsĭā,G.,,,n.,19.0,25,ambrosia
414,4,ambrŏʹsĭal,,,,a.,20.0,25,ambrosial
415,5,ămbŭlaʹtion,L.,,,n.,21.0,25,ambulation
416,3,ămbŭſcăʹde,F.,,,n.,22.0,25,ambuscade
417,2,ăʹmel,,,,n.,23.0,25,amel
418,2,āʹme˘n,,,,p.,24.0,25,amen
419,4,amēʹnable,F.,,,a.,25.0,25,amenable
420,2,ame˘ʹnd,L.,,,v.,26.0,25,amend
421,3,ame˘ʹndment,,,,n.,27.0,25,amendment
422,2,ame˘ʹnds,,,,n.,28.0,25,amends
423,4,amēʹnĭty,L.,,,n.,29.0,25,amenity
424,2,ame˘ʹrce,F.,,,v.,30.0,25,amerce
425,3,ame˘ʹrc_e_ment,,,,n.,31.0,25,amercement
426,4,ămĕʹrĭcā,,,,n.,32.0,25,america
427,2,āʹme˘ſs,L.,,,n.,33.0,25,amess
428,3,ăʹmĕthyſt,G.,,,n.,34.0,25,amethyst
