,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,hwd,Sampa,ipa
24,4,ăborīʹgĭnes,L.,,,n.,5.0,20,aborigines,aborigines,{ b 3:r I dZ @ n i: z,æbɜ:rɪ?əniːz
25,4,ăbŏʹrtion,L.,,,n.,6.0,20,abortion,abortion,@ b O: r\ S @ n,əbOːɹʃən
26,3,ăbŏʹrtive,,,,a.,7.0,20,abortive,abortive,@ b O: r\ 4 i v,əbOːɹɾiv
27,2,abrĭʹdge,F.,,,v.,9.0,20,abridge,abridge,@ b r\ I dZ,əbɹɪ?
28,2,abroaʹd,,,,a.,11.0,20,abroad,abroad,@ b r\ O: d,əbɹOːd
29,3,ăʹbrŏgāte,L.,,,v.,12.0,20,abrogate,abrogate,{ b r\ @ g eI t,æbɹəg?t
30,2,ăbrŭpt,L.,nbSyll>1 et pas d'accent tonic,,a.,13.0,20,abrupt,abrupt,@ b r\ V p t,əbɹʌpt
31,2,ăʹbſcĕſs,L.,,,n.,14.0,20,abscess,abscess,{ b s E s,æbsɛs
32,2,ăʹbſĕnt,L.,,,v.,16.0,20,absent,absent,{ b s @ n t,æbsənt
33,3,ăbſĕnteeʹ,L.,,,n.,17.0,20,absentee,absentee,{ b s @ n t i:,æbsəntiː
34,2,ăbſŏʹlve,L.,,,v.,18.0,20,absolve,absolve,@ b z A l v,əbzɑlv
35,3,ăʹbſŏlūte,L.,,,a.,19.0,20,absolute,absolute,{ b s @ l u t,æbsəlut
36,5,ăbſŏlūʹtion,L.,,,n.,20.0,20,absolution,absolution,{ b s @ l u S @ n,æbsəluʃən
37,2,ăbſŏʹrb,L.,,,v.,21.0,20,absorb,absorb,@ b z O: r\ b,əbzOːɹb
38,2,ăbſtaiʹn,L.,,,v.,23.0,20,abstain,abstain,@ b s t eI n,əbst?n
39,3,ăʹbſtĭnĕnce,L.,,,n.,26.0,20,abstinence,abstinence,{ b s t @ n @ n s,æbstənəns
40,2,ăbſtrăʹct,L.,,,v.,27.0,20,abstract,abstract,{ b s t r\ { k t,æbstɹækt
41,2,ăbſtrūʹſe,L.,,,a.,28.0,20,abstruse,abstruse,@ b s t r\ u s,əbstɹus
42,2,ăbſŭʹrd,L.,,,a.,29.0,20,absurd,absurd,@ b s 3:r d,əbsɜ:rd
43,3,abŭʹndănce,,,,n.,30.0,20,abundance,abundance,@ b V n d @ n s,əbʌndəns
44,2,abūʹſe,L.,,,v.,31.0,20,abuse,abuse,@ b j u s,əbjus
45,2,ăbyʹſs,G.,,,n.,32.0,20,abyss,abyss,@ b I s,əbɪs
46,4,ăcăʹdĕmy,G.,,,n.,34.0,20,academy,academy,@ k { 4 @ m i:,əkæɾəmiː
47,2,ăccēʹde,L.,,,v.,36.0,20,accede,accede,{ k s i: d,æksiːd
48,4,ăccĕʹlĕrāte,L.,,,v.,37.0,20,accelerate,accelerate,{ k s E l 3:r eI t,æksɛlɜ:r?t
49,2,ăcʹcĕnt,L.,,,n.,38.0,20,accent,accent,@ k s E n t,əksɛnt
50,2,ăccĕʹpt,L.,,,v.,39.0,20,accept,accept,{ k s E p t,æksɛpt
51,4,ăccĕʹptable,,,,a.,40.0,20,acceptable,acceptable,{ k s E p t @ b @ l,æksɛptəbəl
52,2,ăccĕʹſs,L.,,,n.,42.0,20,access,access,{ k s E s,æksɛs
53,4,ăccĕʹſſĭble,,,,a.,43.0,20,accessible,accessible,{ k s E s @ b @ l,æksɛsəbəl
54,4,ăccĕʹſſion,L.,,,n.,44.0,20,accession,accession,@ k s E S @ n,əksɛʃən
55,3,ăʹccĭdent,L.,,,n.,46.0,20,accident,accident,{ k s @ d @ n t,æksədənt
56,4,ăccŏʹmmodāte,L.,,,v.,49.0,20,accommodate,accommodate,@ k A m @ d eI t,əkɑməd?t
57,4,ăccŏʹmpăny,F.,,,v.,50.0,20,accompany,accompany,@ k V m p @ n i:,əkʌmpəniː
58,3,ăccŏʹmpliſh,F.,,,v.,51.0,20,accomplish,accomplish,@ k A m p l i S,əkɑmpliʃ
59,4,ăccŏʹmplĭſhed,,,,a.,52.0,20,accomplished,accomplished,@ k A m p l i S t,əkɑmpliʃt
60,3,ăccŏʹmplice,F.,,,n.,53.0,20,accomplice,accomplice,@ k A m p l @ s,əkɑmpləs
61,2,ăccoʹrd,F.,,,v.,55.0,20,accord,accord,@ k O: r\ d,əkOːɹd
62,2,ăccŏʹſt,F.,,,v.,56.0,20,accost,accost,@ k O: s t,əkOːst
63,4,ăccuʹmūlăte,L.,,,v.,63.0,20,accumulate,accumulate,@ k j u m j @ l eI t,əkjumjəl?t
64,4,ăʹccūracy,L.,,,n.,64.0,20,accuracy,accuracy,{ k j 3:r @ s i:,ækjɜ:rəsiː
65,3,ăccŭʹrſed,,,,a.,65.0,20,accursed,accursed,@ k 3:r s t,əkɜ:rst
66,2,ăccūʹſe,L.,,,v.,66.0,20,accuse,accuse,@ k j u z,əkjuz
67,5,ăccūſāʹtion,L.,,,n.,67.0,20,accusation,accusation,{ k j @ z eI S @ n,ækjəz?ʃən
68,4,ăccūʹſātive,,,,n.,68.0,20,accusative,accusative,@ k j u z @ 4 i v,əkjuzəɾiv
69,3,ăccŭʹſtom,F.,,,v.,69.0,20,accustom,accustom,@ k V s t @ m,əkʌstəm
70,1,āc_he_,,,,n.,72.0,20,ache,ache,eI k,?k
71,2,ăʹcid,L.,,,a.,2.0,21,acid,acid,{ s @ d,æsəd
72,2,ăʹcids,,,,n.,3.0,21,acids,acids,{ s @ d z,æsədz
73,4,ăc_k_nŏ_w_lĕdgment,,nbSyll>1 et pas d'accent tonic,,n.,4.0,21,acknowledgment,acknowledgment,{ k n A l i dZ m @ n t,æknɑli?mənt
74,2,ăʹcorn,,,,n.,6.0,21,acorn,acorn,eI k O: r\ n,?kOːɹn
75,2,ăcquaiʹnt,F.,,,v.,8.0,21,acquaint,acquaint,@ k w eI n t,əkw?nt
76,3,ăcquaĭʹntănce,,,,n.,9.0,21,acquaintance,acquaintance,@ k w eI n t @ n s,əkw?ntəns
77,3,acquĭe˘ʹſ_c__e_,L.,,,v.,10.0,21,acquiesce,acquiesce,{ k w i: E s,ækwiːɛs
78,2,ăcquīʹre,L.,,,v.,11.0,21,acquire,acquire,@ k w aI 3:r,əkw?ɜ:r
79,5,ăcquĭſĭʹtion,L.,,,n.,12.0,21,acquisition,acquisition,{ k w @ z I S @ n,ækwəzɪʃən
80,2,ăcquĭʹt,F.,,,v.,14.0,21,acquit,acquit,@ k w I t,əkwɪt
81,3,ăcquĭʹttal,F.,,,n.,15.0,21,acquittal,acquittal,@ k w I 4 @ l,əkwɪɾəl
82,2,āʹcre,,,,n.,17.0,21,acre,acre,eI k 3:r,?kɜ:r
83,4,ăʹcrĭmony,L.,,,n.,18.0,21,acrimony,acrimony,{ k r\ i m @U n i:,ækɹimoʊniː
84,1,ăct,L.,,,v.,21.0,21,act,act,{ k t,ækt
85,3,ăʹction,L.,,,n.,22.0,21,action,action,{ k S @ n,ækʃən
86,5,ăʹctionable,,,,a.,23.0,21,actionable,actionable,{ k S @ n @ b @ l,ækʃənəbəl
87,2,ăʹctĭve,L.,,,a.,24.0,21,active,active,{ k t i v,æktiv
88,4,ăctĭʹvĭty,L.,,,n.,25.0,21,activity,activity,{ k t I v @ 4 i:,æktɪvəɾiː
89,2,ăʹctor,L.,,,n.,26.0,21,actor,actor,{ k t 3:r,æktɜ:r
90,2,ăʹctrĕſs,,,,n.,27.0,21,actress,actress,{ k t r\ @ s,æktɹəs
91,3,ăʹctūal,F.,,,a.,28.0,21,actual,actual,{ k tS @ w @ l,æk?əwəl
92,4,ăʹctūāry,L.,,,n.,29.0,21,actuary,actuary,{ k tS @ w E r\ i:,æk?əwɛɹiː
93,3,ăʹctūāte,L.,,,v.,30.0,21,actuate,actuate,{ k tS u w eI t,æk?uw?t
94,2,acūʹte,L.,,,a.,31.0,21,acute,acute,@ k j u t,əkjut
95,2,āʹdāge,L.,,,n.,32.0,21,adage,adage,{ 4 @ dZ,æɾə?
96,4,adāʹgĭo,,,,a.,33.0,21,adagio,adagio,@ d A Z i: @U,ədɑʒiːoʊ
97,3,ăʹdămant,L.,,,n.,34.0,21,adamant,adamant,{ 4 @ m @ n t,æɾəmənt
98,2,adăʹpt,L.,,,v.,37.0,21,adapt,adapt,@ d { p t,ədæpt
99,3,adăʹpted,,,,v.,38.0,21,adapted,adapted,@ d { p t @ d,ədæptəd
100,2,āʹdar,,,,n.,39.0,21,adar,adar,@ d A r\,ədɑɹ
101,1,ădd,L.,,,v.,40.0,21,add,add,{ d,æd
102,2,ăʹdder,,,,n.,41.0,21,adder,adder,{ 4 3:r,æɾɜ:r
103,2,ăddĭʹct,L.,,,v.,43.0,21,addict,addict,@ d I k t,ədɪkt
104,4,ăddĭʹtion,L.,,,n.,45.0,21,addition,addition,@ d I S @ n,ədɪʃən
105,5,ăddĭʹtional,,,,a.,46.0,21,additional,additional,@ d I S @ n @ l,ədɪʃənəl
106,2,ăʹddle,,,,a.,47.0,21,addle,addle,{ 4 @ l,æɾəl
107,2,ăddrĕʹſs,F.,,,n.,48.0,21,address,address,{ d r\ E s,ædɹɛs
108,3,ăʹdĕquāte,L.,,,a.,51.0,21,adequate,adequate,{ 4 @ k w @ t,æɾəkwət
109,2,ădhēre,L.,nbSyll>1 et pas d'accent tonic,,v.,54.0,21,adhere,adhere,@ d h I r\,ədhɪɹ
110,3,ădhēʹrĕnce,L.,,,n.,55.0,21,adherence,adherence,@ d h I r\ @ n s,ədhɪɹəns
111,3,ădhēʹrent,L.,,,n.,56.0,21,adherent,adherent,@ d h I r\ @ n t,ədhɪɹənt
112,3,ădjāʹcent,L.,,,a.,58.0,21,adjacent,adjacent,@ dZ eI s @ n t,ə??sənt
113,3,ăʹdjĕctive,L.,,,n.,59.0,21,adjective,adjective,{ dZ i k t i v,æ?iktiv
114,2,adĭeuʹ,F.,,,p.,60.0,21,adieu,adieu,@ d u,ədu
115,2,ădjoiʹn,L.,,,v.,61.0,21,adjoin,adjoin,@ dZ OI n,ə??n
116,3,ădj_o_ŭʹrnment,F.,,,n.,62.0,21,adjournment,adjournment,@ dZ 3:r n m @ n t,ə?ɜ:rnmənt
117,2,ădjŭʹdge,L.,,,v.,63.0,21,adjudge,adjudge,@ dZ V dZ,ə?ʌ?
118,6,ădjūdĭcāʹtion,L.,,,n.,64.0,21,adjudication,adjudication,@ dZ u 4 @ k eI S @ n,ə?uɾək?ʃən
119,2,ăʹdjŭnct,L.,,,n.,65.0,21,adjunct,adjunct,{ dZ V N k t,æ?ʌŋkt
120,2,ădjŭʹſt,F.,,,v.,67.0,21,adjust,adjust,@ dZ V s t,ə?ʌst
121,3,ăʹdjūtant,L.,,,n.,68.0,21,adjutant,adjutant,{ dZ @ t @ n t,æ?ətənt
122,4,ădmĭʹnĭſt_e_r,L.,,,v.,69.0,21,administer,administer,@ d m I n @ s t 3:r,ədmɪnəstɜ:r
123,6,ădmĭnĭſtrātion,L.,nbSyll>1 et pas d'accent tonic,,n.,70.0,21,administration,administration,{ d m I n i s t r\ eI S @ n,ædmɪnistɹ?ʃən
124,5,ădmĭnĭſtrāʹtor,,,,n.,71.0,21,administrator,administrator,@ d m I n @ s t r\ eI 4 3:r,ədmɪnəstɹ?ɾɜ:r
125,3,ăʹdmĭrăl,L.,,,n.,73.0,21,admiral,admiral,{ d m 3:r @ l,ædmɜ:rəl
126,4,ăʹdmĭrălty,,,,n.,2.0,22,admiralty,admiralty,{ d m 3:r @ l t i:,ædmɜ:rəltiː
127,5,ădmĭrāʹtion,L.,,,n.,3.0,22,admiration,admiration,{ d m 3:r eI S @ n,ædmɜ:r?ʃən
128,2,ădmīʹre,L.,,,v.,4.0,22,admire,admire,{ d m aI r\,ædm?ɹ
129,3,ădmĭʹttănce,L.,,,n.,5.0,22,admittance,admittance,@ d m I t @ n s,ədmɪtəns
130,2,ădmĭʹt,L.,,,v.,6.0,22,admit,admit,@ d m I t,ədmɪt
131,3,ădmŏʹnĭſh,L.,,,v.,7.0,22,admonish,admonish,{ d m A n i S,ædmɑniʃ
132,5,ădmŏnĭʹtion,L.,,,n.,8.0,22,admonition,admonition,{ d m @ n I S @ n,ædmənɪʃən
133,4,ădŏlĕʹſcĕnce,L.,,,n.,9.0,22,adolescence,adolescence,{ 4 @ l E s @ n s,æɾəlɛsəns
134,4,ădŏʹption,L.,,,n.,10.0,22,adoption,adoption,@ d A p S @ n,ədɑpʃən
135,4,ădōʹrable,,,,a.,11.0,22,adorable,adorable,@ d O: r\ @ b @ l,ədOːɹəbəl
136,2,ădōʹre,L.,,,v.,12.0,22,adore,adore,@ d O: r\,ədOːɹ
137,2,ădŏʹrn,L.,,,v.,13.0,22,adorn,adorn,@ d O: r\ n,ədOːɹn
138,2,ădroiʹt,F.,,,a.,14.0,22,adroit,adroit,@ d r\ OI t,ədɹ?t
139,2,ădvăʹnce,F.,,,v.,16.0,22,advance,advance,@ d v { n s,ədvæns
140,3,ădvăʹnc_e_ment,F.,,,n.,17.0,22,advancement,advancement,@ d v { n s m @ n t,ədvænsmənt
141,3,ădvăʹntage,F.,,,n.,18.0,22,advantage,advantage,{ d v { n t i dZ,ædvænti?
142,2,ăʹdvĕnt,L.,,,n.,19.0,22,advent,advent,{ d v E n t,ædvɛnt
143,3,ădvĕʹntŭre,F.,,,n.,21.0,22,adventure,adventure,{ d v E n tS 3:r,ædvɛn?ɜ:r
144,4,ădvĕʹntŭr_o_us,,,,a.,22.0,22,adventurous,adventurous,{ d v E n tS 3:r @ s,ædvɛn?ɜ:rəs
145,2,ăʹdverb,L.,,,n.,23.0,22,adverb,adverb,{ d v 3:r b,ædvɜ:rb
146,4,ăʹdvĕrſăry,L.,,,n.,24.0,22,adversary,adversary,{ d v 3:r s E r\ i:,ædvɜ:rsɛɹiː
147,2,ăʹdvĕrſe,L.,,,a.,25.0,22,adverse,adverse,{ d v 3:r s,ædvɜ:rs
148,4,ădvĕʹrſity,L.,,,n.,26.0,22,adversity,adversity,{ d v 3:r s i 4 i:,ædvɜ:rsiɾiː
149,3,ădvĕrtĭʹſe,L.,,,v.,29.0,22,advertise,advertise,{ d v 3:r t aI z,ædvɜ:rt?z
150,2,ădvīʹce,F.,,,n.,30.0,22,advice,advice,{ d v aI s,ædv?s
151,2,ădvīʹſe,,,,v.,31.0,22,advise,advise,{ d v aI z,ædv?z
152,5,ădūlāʹtion,L.,,,n.,32.0,22,adulation,adulation,{ dZ @ l eI S @ n,æ?əl?ʃən
153,2,adŭʹlt,L.,,,a.,34.0,22,adult,adult,@ d V l t,ədʌlt
154,4,adŭʹlte˘rāte,L.,,,v.,35.0,22,adulterate,adulterate,@ d V l t 3:r eI t,ədʌltɜ:r?t
155,4,adŭʹlte˘rer,,,,n.,36.0,22,adulterer,adulterer,@ d V l t 3:r 3:r,ədʌltɜ:rɜ:r
156,4,adŭʹlte˘ry,L.,,,n.,38.0,22,adultery,adultery,@ d V l t 3:r i:,ədʌltɜ:riː
157,3,ăʹdvŏcāte,L.,,,n.,39.0,22,advocate,advocate,{ d v @ k @ t,ædvəkət
158,4,āe˘ʹrĭal,G.,,,a.,46.0,22,aerial,aerial,E r\ i: @ l,ɛɹiːəl
159,2,ăffaiʹr,F.,,,n.,49.0,22,affair,affair,@ f E r\,əfɛɹ
160,2,affe˘ʹct,L.,,,v.,50.0,22,affect,affect,@ f E k t,əfɛkt
161,5,ăffĕctāʹtion,L.,,,n.,51.0,22,affectation,affectation,{ f E k t eI S @ n,æfɛkt?ʃən
162,3,ăffĕʹcted,,,,a.,52.0,22,affected,affected,@ f E k t @ d,əfɛktəd
163,4,ăffĕʹction,L.,,,n.,53.0,22,affection,affection,@ f E k S @ n,əfɛkʃən
164,5,ăffĕʹctionāte,,,,a.,54.0,22,affectionate,affectionate,@ f E k S @ n @ t,əfɛkʃənət
165,4,ăffĭdāʹvit,,,,n.,57.0,22,affidavit,affidavit,{ f @ d eI v @ t,æfəd?vət
166,4,ăffĭʹnĭʹty,L.,,,n.,58.0,22,affinity,affinity,@ f I n @ 4 i:,əfɪnəɾiː
167,2,ăffĭrm,L.,nbSyll>1 et pas d'accent tonic,,v.,59.0,22,affirm,affirm,@ f 3:r m,əfɜ:rm
168,5,ăffĭrmāʹtion,L.,,,n.,60.0,22,affirmation,affirmation,{ f 3:r m eI S @ n,æfɜ:rm?ʃən
169,4,ăffĭʹrmătive,L.,,,a.,61.0,22,affirmative,affirmative,@ f 3:r m @ 4 i v,əfɜ:rməɾiv
170,2,affĭʹx,L.,,,v.,62.0,22,affix,affix,{ f i k s,æfiks
171,2,ăfflĭʹct,L.,,,v.,64.0,22,afflict,afflict,@ f l I k t,əflɪkt
172,4,ăfflĭʹction,L.,,,n.,65.0,22,affliction,affliction,@ f l I k S @ n,əflɪkʃən
173,3,ăfflūĕnce,L.,nbSyll>1 et pas d'accent tonic,,n.,67.0,22,affluence,affluence,{ f l u @ n s,æfluəns
174,3,ăʹfflūĕnt,L.,,,a.,68.0,22,affluent,affluent,{ f l u @ n t,æfluənt
175,2,ăffoʹrd,,,,v.,70.0,22,afford,afford,@ f O: r\ d,əfOːɹd
176,3,ăʹfrĭcā,,,,n.,73.0,22,africa,africa,{ f r\ @ k @,æfɹəkə
177,2,ăffrŏʹnt,F.,,,v.,3.0,23,affront,affront,@ f r\ V n t,əfɹʌnt
178,1,ăft,,,,p.,6.0,23,aft,aft,{ f t,æft
179,2,ăʹft_e_r,,,,p.,7.0,23,after,after,{ f t 3:r,æftɜ:r
180,3,ăfternooʹn,,,,n.,8.0,23,afternoon,afternoon,{ f t 3:r n u n,æftɜ:rnun
181,2,āʹgā,,,,n.,9.0,23,aga,aga,A g @,ɑgə
182,2,ăʹgate,G.,,,n.,11.0,23,agate,agate,{ g @ t,ægət
183,1,āge,,,,n.,12.0,23,age,age,eI dZ,??
184,3,āʹge˘ncy,L.,,,n.,13.0,23,agency,agency,eI dZ @ n s i:,??ənsiː
185,2,āʹgent,L.,,,n.,14.0,23,agent,agent,eI dZ @ n t,??ənt
186,4,ăgglŏʹmĕrāte,L.,,,v.,15.0,23,agglomerate,agglomerate,@ g l A m 3:r eI t,əglɑmɜ:r?t
187,4,ăgglūʹtĭnāte,L.,,,v.,16.0,23,agglutinate,agglutinate,@ g l u t i n eI t,əglutin?t
188,3,ăʹggrăndīze,F.,,,v.,17.0,23,aggrandize,aggrandize,@ g r\ { n d aI z,əgɹænd?z
189,3,ăʹggrăvāte,L.,,,v.,18.0,23,aggravate,aggravate,{ g r\ @ v eI t,ægɹəv?t
190,5,ăggrăvāʹtion,L.,,,n.,19.0,23,aggravation,aggravation,{ g r\ @ v eI S @ n,ægɹəv?ʃən
191,3,ăʹggrĕgāte,L.,,,v.,20.0,23,aggregate,aggregate,{ g r\ @ g @ t,ægɹəgət
192,2,ăggrĕʹſs,L.,,,v.,21.0,23,aggress,aggress,@ g r\ E s,əgɹɛs
193,3,ăggrĕʹſſor,,,,n.,22.0,23,aggressor,aggressor,@ g r\ E s 3:r,əgɹɛsɜ:r
194,2,ăggrieʹve,,,,n.,23.0,23,aggrieve,aggrieve,@ g r\ i: v,əgɹiːv
195,2,ăʹgĭle,L.,,,a.,24.0,23,agile,agile,{ dZ @ l,æ?əl
196,4,ăgĭʹlĭty,L.,,,n.,25.0,23,agility,agility,@ dZ I l @ 4 i:,ə?ɪləɾiː
197,3,ăʹgĭtāte,L.,,,v.,28.0,23,agitate,agitate,{ dZ @ t eI t,æ?ət?t
198,5,ăgĭtāʹtion,L.,,,n.,29.0,23,agitation,agitation,{ dZ @ t eI S @ n,æ?ət?ʃən
199,4,ăgĭtāʹtor,L.,,,n.,30.0,23,agitator,agitator,{ dZ @ t eI 4 3:r,æ?ət?ɾɜ:r
200,3,ăʹgŏny,G.,,,n.,33.0,23,agony,agony,{ g @ n i:,ægəniː
201,2,ăgreeʹ,F.,,,v.,34.0,23,agree,agree,@ g r\ i:,əgɹiː
202,4,ăgreeʹable,F.,,,a.,35.0,23,agreeable,agreeable,@ g r\ i: @ b @ l,əgɹiːəbəl
203,3,ăgreeʹment,,,,n.,36.0,23,agreement,agreement,@ g r\ i: m @ n t,əgɹiːmənt
204,4,ăʹgrĭcŭltŭre,L.,,,n.,37.0,23,agriculture,agriculture,{ g r\ i k V l tS 3:r,ægɹikʌl?ɜ:r
205,1,aid,,,,v.,42.0,23,aid,aid,eI d,?d
206,1,ail,,,,v.,43.0,23,ail,ail,eI l,?l
207,1,aim,,,,v.,44.0,23,aim,aim,eI m,?m
208,1,air,,,,n.,45.0,23,air,air,E r\,ɛɹ
209,2,aiʹry,,,pas de {POS} indiquée dans le dictionnaire.,,47.0,23,airy,airy,E r\ i:,ɛɹiː
210,4,ălăbăʹſt_e_r,,,,n.,48.0,23,alabaster,alabaster,{ l @ b { s t 3:r,æləbæstɜ:r
211,4,alăʹcrĭty,,,,n.,49.0,23,alacrity,alacrity,@ l { k r\ @ 4 i:,əlækɹəɾiː
212,2,alăʹrm,F.,,,n.,51.0,23,alarm,alarm,@ l A r\ m,əlɑɹm
213,3,ăʹlbĭon,L.,,,n.,53.0,23,albion,albion,{ l b i: @ n,ælbiːən
214,2,ăʹlcōve,F.,,,n.,60.0,23,alcove,alcove,{ l k @U v,ælkoʊv
215,2,ăʹld_e_r,,,,n.,61.0,23,alder,alder,O: l d 3:r,Oːldɜ:r
216,3,ăʹldĕrmăn,,,,n.,62.0,23,alderman,alderman,O: l d 3:r m @ n,Oːldɜ:rmən
217,1,āle,,,,n.,63.0,23,ale,ale,eI l,?l
218,4,alexăʹndrĭne,,,,n.,69.0,23,alexandrine,alexandrine,{ l @ g z { n d r\ i: n,æləgzændɹiːn
219,3,ăʹlgĕbrā,,,,n.,71.0,23,algebra,algebra,{ l dZ @ b r\ @,æl?əbɹə
220,3,ăʹlgorĭthm,,,,n.,73.0,23,algorithm,algorithm,{ l g 3:r I D @ m,ælgɜ:rɪðəm
221,3,ăʹlĭas,L.,,,p.,3.0,24,alias,alias,eI l i: @ s,?liːəs
222,3,ăʹlĭen,L.,,,n.,4.0,24,alien,alien,eI l i: @ n,?liːən
223,4,ăʹlĭenāte,,,,v.,5.0,24,alienate,alienate,eI l j @ n eI t,?ljən?t
224,6,ălĭenāʹtion,,,,n.,6.0,24,alienation,alienation,eI l i: @ n eI S @ n,?liːən?ʃən
225,5,ălĭmĕʹntary,,,,a.,8.0,24,alimentary,alimentary,{ l @ m E n t 3:r i:,æləmɛntɜ:riː
226,4,ăʹlĭmŏny,,,,n.,9.0,24,alimony,alimony,{ l @ m @U n i:,æləmoʊniː
227,3,ăʹlkăhĕſt,,,,n.,13.0,24,alkahest,alkahest,{ l k @ h E s t,ælkəhɛst
228,2,ăllaʹy,F.,,,n.,15.0,24,allay,allay,@ l eI,əl?
229,5,ăllēgāʹtion,L.,,,n.,17.0,24,allegation,allegation,{ l @ g eI S @ n,æləg?ʃən
230,4,ăllĕʹgĭ_a_nce,L.,,,n.,18.0,24,allegiance,allegiance,@ l i: dZ @ n s,əliː?əns
231,5,ăllēgŏʹrical,G.,,,a.,19.0,24,allegorical,allegorical,{ l @ g O: r\ @ k @ l,æləgOːɹəkəl
232,4,ăʹllĕgŏry,G.,,,n.,21.0,24,allegory,allegory,{ l @ g O: r\ i:,æləgOːɹiː
233,3,ăllēʹgro,,,,n.,22.0,24,allegro,allegro,@ l E g r\ @U,əlɛgɹoʊ
234,4,ăllĕʹvĭāte,L.,,,v.,23.0,24,alleviate,alleviate,@ l i: v i: eI t,əliːviː?t
235,2,ăʹlley,F.,,,n.,24.0,24,alley,alley,{ l i:,æliː
236,3,ăllīʹance,F.,,,n.,25.0,24,alliance,alliance,@ l aI @ n s,əl?əns
237,2,ăllīʹ_e_s,F.,,,n.,26.0,24,allies,allies,{ l aI z,æl?z
238,4,ăllĭgāʹtor,,,,n.,28.0,24,alligator,alligator,{ l @ g eI 4 3:r,æləg?ɾɜ:r
239,2,allŏʹt,,,,v.,31.0,24,allot,allot,@ l A t,əlɑt
240,2,allȯẇ,F.,nbSyll>1 et pas d'accent tonic,,v.,32.0,24,allow,allow,@ l aU,əl?
241,3,allȯẇănce,,nbSyll>1 et pas d'accent tonic,,n.,33.0,24,allowance,allowance,@ l aU @ n s,əl?əns
242,2,allūʹde,L.,,,v.,34.0,24,allude,allude,@ l u d,əlud
243,2,ăʹllŭm,,,,n.,35.0,24,allum,allum,{ l @ m,æləm
244,2,allūre,,nbSyll>1 et pas d'accent tonic,,v.,37.0,24,allure,allure,@ l U r\,əlʊɹ
245,4,allūʹſion,L.,,,n.,39.0,24,allusion,allusion,@ l u Z @ n,əluʒən
246,3,ăʹlmănăc,,,,n.,40.0,24,almanac,almanac,O: l m @ n { k,Oːlmənæk
247,2,ăʹlmŏnd,,,,n.,41.0,24,almond,almond,A m @ n d,ɑmənd
248,1,alms,,,,n.,43.0,24,alms,alms,A l m z,ɑlmz
249,2,alŏʹft,,,,p.,45.0,24,aloft,aloft,@ l O: f t,əlOːft
250,2,alooʹf,,,,p.,46.0,24,aloof,aloof,@ l u f,əluf
