hwd;pronSampa;ipa
mundinger;m V n d i N 3:r;mʌndiŋɜ:r
fennessy;f E n i s i:;fɛnisiː
bildt;b I l t;bɪlt
gowans;g aU @ n z;g?ənz
genesis;dZ E n @ s @ s;?ɛnəsəs
treu;t r\ u;tɹu
glowered;g l aU 3:r d;gl?ɜ:rd
flamenco;f l @ m E N k @U;fləmɛŋkoʊ
dubey;d V b i:;dʌbiː
cordover;k O: r\ d @U v 3:r;kOːɹdoʊvɜ:r
praiseworthy;p r\ eI z w 3:r D i:;pɹ?zwɜ:rðiː
brezhnev's(2);b r\ E z n E f s;bɹɛznɛfs
miska;m I s k @;mɪskə
casualty;k { Z @ w @ l t i:;kæʒəwəltiː
lily;l I l i:;lɪliː
fab;f { b;fæb
sayed;s A j E d;sɑjɛd
begging;b E g i N;bɛgiŋ
sleigh;s l eI;sl?
dividend;d I v i d E n d;dɪvidɛnd
keeran;k I r\ @ n;kɪɹən
percipient;p 3:r s I p i: @ n t;pɜ:rsɪpiːənt
lowered;l @U 3:r d;loʊɜ:rd
julson;dZ V l s @ n;?ʌlsən
wanna;w A n @;wɑnə
changes;tS eI n dZ @ z;??n?əz
cupples;k V p @ l z;kʌpəlz
bostick;b @U s t i k;boʊstik
avail;@ v eI l;əv?l
faranda;f 3:r { n d @;fɜ:rændə
bikini;b i k i: n i:;bikiːniː
hoodwinked;h U d w I N k t;hʊdwɪŋkt
why'd(2);h w aI d;hw?d
torino;t O: r\ i: n @U;tOːɹiːnoʊ
kearley;k 3:r l i:;kɜ:rliː
stemm;s t E m;stɛm
linoleum;l @ n @U l i: @ m;lənoʊliːəm
ramsay(2);r\ { m s eI;ɹæms?
accidental(2);{ k s @ d E n @ l;æksədɛnəl
danza;d { n z @;dænzə
heinig;h aI n i g;h?nig
amalie;{ m @ l i:;æməliː
vankirk;v { N k 3:r k;væŋkɜ:rk
bohon;b @U h @ n;boʊhən
bugher;b j u g 3:r;bjugɜ:r
strawser;s t r\ O: z 3:r;stɹOːzɜ:r
strength;s t r\ E N k T;stɹɛŋkθ
dean's;d i: n z;diːnz
swordplay;s O: r\ d p l eI;sOːɹdpl?
kollmorgen;k @U l m O: r\ g @ n;koʊlmOːɹgən
herscu;h 3:r s k u;hɜ:rsku
buenos(2);b w eI n @ s;bw?nəs
swathed;s w A D d;swɑðd
messiaen's;m E s i: eI n z;mɛsiː?nz
athletes;{ T l i: t s;æθliːts
tregurtha;t r\ E g 3:r T @;tɹɛgɜ:rθə
auderburn;O: 4 3:r b 3:r n;Oːɾɜ:rbɜ:rn
arrick;{ r\ i k;æɹik
hurlock;h 3:r l @ k;hɜ:rlək
gratz;g r\ { t s;gɹæts
omohundro;@U m @U h u n d r\ @U;oʊmoʊhundɹoʊ
judith;dZ u 4 @ T;?uɾəθ
model;m A 4 @ l;mɑɾəl
dashing;d { S i N;dæʃiŋ
shier;S aI 3:r;ʃ?ɜ:r
kubrick;k j u b r\ I k;kjubɹɪk
misrepresented(2);m I s r\ E p r\ i z E n i d;mɪsɹɛpɹizɛnid
menna;m E n @;mɛnə
gift;g I f t;gɪft
snail's;s n eI l z;sn?lz
francis'(2);f r\ { n s i s;fɹænsis
eisenhut;aI z @ n h @ t;?zənhət
malveaux;m { l v @U;mælvoʊ
straightens;s t r\ eI t @ n z;stɹ?tənz
bawl;b O: l;bOːl
quakenbush;k w @ k E n b U S;kwəkɛnbʊʃ
cabins;k { b @ n z;kæbənz
nerine;n E r\ i: n;nɛɹiːn
grilling;g r\ I l i N;gɹɪliŋ
clarion;k l E r\ i: @ n;klɛɹiːən
rollins;r\ A l i n z;ɹɑlinz
era's;E r\ @ z;ɛɹəz
ana(2);{ n @;ænə
suckered;s V k 3:r d;sʌkɜ:rd
mandible(2);m { n d i b @ l;mændibəl
tittsworth;t I t s w 3:r T;tɪtswɜ:rθ
gaska;g A s k @;gɑskə
mewes;m j u z;mjuz
junette;dZ u n E t;?unɛt
potlatch;p A t l { tS;pɑtlæ?
heathcote;h E T k @ t;hɛθkət
arcadians;A r\ k eI 4 i: @ n z;ɑɹk?ɾiːənz
rantala;r\ A n t A l @;ɹɑntɑlə
consoles;k @ n s @U l z;kənsoʊlz
crip;k r\ I p;kɹɪp
gentles(2);dZ E n @ l z;?ɛnəlz
oxfam's;A k s f { m z;ɑksfæmz
machacek;m { k @ s i k;mækəsik
sweepstake;s w i: p s t eI k;swiːpst?k
constitutionists(3);k A n s t @ t u S @ n i s;kɑnstətuʃənis
cressman;k r\ E s m @ n;kɹɛsmən
razing;r\ eI z i N;ɹ?ziŋ
frericks;f r\ E r\ i k s;fɹɛɹiks
constitute;k A n s t @ t u t;kɑnstətut
impelled;i m p E l d;impɛld
slipper;s l I p 3:r;slɪpɜ:r
averette;{ v 3:r E t;ævɜ:rɛt
abuses(2);@ b j u z i z;əbjuziz
whizzer(2);w I z 3:r;wɪzɜ:r
elnozahy;E l n @U z A h i:;ɛlnoʊzɑhiː
carrier's(2);k E r\ i: 3:r z;kɛɹiːɜ:rz
pickert;p I k 3:r t;pɪkɜ:rt
fingernail;f I N g 3:r n eI l;fɪŋgɜ:rn?l
sandwich(2);s { n w i tS;sænwi?
kroes;k r\ @U z;kɹoʊz
klarman;k l A r\ m @ n;klɑɹmən
legg;l E g;lɛg
bucking;b V k i N;bʌkiŋ
eocene;i: @ s i: n;iːəsiːn
decaro;d i k A r\ @U;dikɑɹoʊ
bolstered;b @U l s t 3:r d;boʊlstɜ:rd
khe;k i:;kiː
duboise;d u b OI s;dub?s
pipettes;p aI p E t s;p?pɛts
roethler(2);r\ @U T l 3:r;ɹoʊθlɜ:r
breastplate;b r\ E s t p l eI t;bɹɛstpl?t
schermer;S 3:r m 3:r;ʃɜ:rmɜ:r
firefight;f aI r\ f aI t;f?ɹf?t
falloff;f O: l O: f;fOːlOːf
autonomy(2);@ t A n @ m i:;ətɑnəmiː
ridinger;r\ aI 4 i N 3:r;ɹ?ɾiŋɜ:r
naturalized(2);n { tS r\ @ l aI z d;næ?ɹəl?zd
refineries;r\ i f aI n 3:r i: z;ɹif?nɜ:riːz
insofar;I n s @ f A r\;ɪnsəfɑɹ
rench;r\ E n tS;ɹɛn?
nashville's;n { S v I l z;næʃvɪlz
wistfully;w I s t f @ l i:;wɪstfəliː
snatchers;s n { tS 3:r z;snæ?ɜ:rz
serendipity;s E r\ @ n d I p i 4 i:;sɛɹəndɪpiɾiː
taisei;t eI s eI;t?s?
noren;n O: r\ @ n;nOːɹən
freeney;f r\ i: n i:;fɹiːniː
mistress;m I s t r\ @ s;mɪstɹəs
exoneration;i g z A n 3:r eI S @ n;igzɑnɜ:r?ʃən
hart;h A r\ t;hɑɹt
dorset;d O: r\ s i t;dOːɹsit
nutrient;n u t r\ i: @ n t;nutɹiːənt
beveridge;b E v 3:r i dZ;bɛvɜ:ri?
latonia;l A t @U n i: @;lɑtoʊniːə
corinna;k O: r\ I n @;kOːɹɪnə
taciturn;t { s i t 3:r n;tæsitɜ:rn
plea;p l i:;pliː
roggenkamp;r\ A g i n k { m p;ɹɑginkæmp
roseline;r\ @U z l aI n;ɹoʊzl?n
strahan;s t r\ { h @ n;stɹæhən
guitarist's;g I t A r\ @ s t s;gɪtɑɹəsts
fujitsu;f u dZ I t s u;fu?ɪtsu
weisse;w aI s;w?s
demilitarize;d i m I l @ 4 3:r aI z;dimɪləɾɜ:r?z
amsterdam's;{ m s t 3:r d { m z;æmstɜ:rdæmz
suhre;s U r\;sʊɹ
muddleheaded;m V 4 @ l h E 4 @ d;mʌɾəlhɛɾəd
geimer;g aI m 3:r;g?mɜ:r
bigger;b I g 3:r;bɪgɜ:r
kok;k A k;kɑk
pursuant;p 3:r s u @ n t;pɜ:rsuənt
partington;p A r\ 4 i N t @ n;pɑɹɾiŋtən
weather's;w E D 3:r z;wɛðɜ:rz
haueter;h aU 4 3:r;h?ɾɜ:r
postlethwait;p @U s t @ l T w eI t;poʊstəlθw?t
rautio;r\ aU 4 i: @U;ɹ?ɾiːoʊ
vantran;v { n t r\ { n;væntɹæn
bitner;b I t n 3:r;bɪtnɜ:r
lark;l A r\ k;lɑɹk
envelop;i n v E l @ p;invɛləp
eastes;i: s t s;iːsts
katen;k eI t @ n;k?tən
statement;s t eI t m @ n t;st?tmənt
wantages;w A n t i dZ i z;wɑnti?iz
kittel;k I 4 @ l;kɪɾəl
bijur;b i Z U r\;biʒʊɹ
st_germaine;s eI n t dZ 3:r m eI n;s?nt?ɜ:rm?n
financed;f i n { n s t;finænst
hammering;h { m 3:r i N;hæmɜ:riŋ
ruhnke;r\ V N k;ɹʌŋk
culbreth;k V l b r\ i T;kʌlbɹiθ
luminoso;l u m i n @U s @U;luminoʊsoʊ
scheuerman;S OI 3:r m @ n;ʃ?ɜ:rmən
variation;v E r\ i: eI S @ n;vɛɹiː?ʃən
natalie;n { 4 @ l i:;næɾəliː
pittsley;p I t s l i:;pɪtsliː
elsdon;E l s d @ n;ɛlsdən
monsoons;m A n s u n z;mɑnsunz
wice;w aI s;w?s
eaton's;i: t @ n z;iːtənz
cashier;k { S I r\;kæʃɪɹ
liebl;l i: b @ l;liːbəl
bodell;b @ d E l;bədɛl
estimator;E s t I m @ 4 3:r;ɛstɪməɾɜ:r
festivals;f E s t @ v @ l z;fɛstəvəlz
nag;n { g;næg
casey;k eI s i:;k?siː
trails;t r\ eI l z;tɹ?lz
lusher;l V S 3:r;lʌʃɜ:r
unaddressed;V n @ d r\ E s t;ʌnədɹɛst
shy;S aI;ʃ?
insurgents;i n s 3:r dZ @ n t s;insɜ:r?ənts
expansionist(2);i k s p { n tS @ n i s t;ikspæn?ənist
heichel;h aI k @ l;h?kəl
famed;f eI m d;f?md
walked;w O: k t;wOːkt
joelle;dZ @U E l;?oʊɛl
sheila's;S i: l @ z;ʃiːləz
reigning;r\ eI n i N;ɹ?niŋ
calfee;k { l f i:;kælfiː
burling;b 3:r l i N;bɜ:rliŋ
pinching;p I n tS i N;pɪn?iŋ
rawe;r\ O:;ɹOː
rebut;r\ i b V t;ɹibʌt
sandbaggers;s { n d b { g 3:r z;sændbægɜ:rz
blunted(2);b l V n t i d;blʌntid
macko;m { k @U;mækoʊ
retain(2);r\ i: t eI n;ɹiːt?n
peppered;p E p 3:r d;pɛpɜ:rd
bensinger;b E n s i n dZ 3:r;bɛnsin?ɜ:r
dose;d @U s;doʊs
dilithium;d aI l I T i: @ m;d?lɪθiːəm
assemblies;@ s E m b l i: z;əsɛmbliːz
zapien;z { p i: n;zæpiːn
frayn;f r\ eI n;fɹ?n
callable;k O: l @ b @ l;kOːləbəl
gently;dZ E n t l i:;?ɛntliː
sonnenberg;s A n @ n b 3:r g;sɑnənbɜ:rg
hundt;h V n t;hʌnt
clocker;k l A k 3:r;klɑkɜ:r
betz;b E t s;bɛts
goof;g u f;guf
thoennes;T @U n z;θoʊnz
towery;t @U 3:r i:;toʊɜ:riː
zagar;z A g A r\;zɑgɑɹ
helicons;h E l i k A n z;hɛlikɑnz
zealanders;z i: l @ n d 3:r z;ziːləndɜ:rz
embarking;E m b A r\ k i N;ɛmbɑɹkiŋ
baham;b A @ m;bɑəm
narcotic;n A r\ k A 4 i k;nɑɹkɑɾik
benbrook;b E n b r\ U k;bɛnbɹʊk
eraser;i r\ eI s 3:r;iɹ?sɜ:r
physics;f I z i k s;fɪziks
realizes;r\ i: @ l aI z i z;ɹiːəl?ziz
navas;n A v @ s;nɑvəs
mummert;m V m 3:r t;mʌmɜ:rt
deel;d i: l;diːl
dulciana;d u l tS { n @;dul?ænə
mcguffey;m @ g V f i:;məgʌfiː
activities;{ k t I v @ 4 i: z;æktɪvəɾiːz
counterattack(2);k aU n 3:r @ t { k;k?nɜ:rətæk
concomitant;k A n k A m @ t @ n t;kɑnkɑmətənt
orioles;O: r\ i: @U l z;Oːɹiːoʊlz
dreger;d r\ E g 3:r;dɹɛgɜ:r
chintz;tS I n t s;?ɪnts
turbocharge;t 3:r b @U tS A r\ dZ;tɜ:rboʊ?ɑɹ?
hilemon;h aI l m @ n;h?lmən
lipper;l I p 3:r;lɪpɜ:r
plaza(2);p l { z @;plæzə
helbling(2);h E l b l i N;hɛlbliŋ
panoply;p { n A p l i:;pænɑpliː
daleth;d A l E T;dɑlɛθ
skippy;s k I p i:;skɪpiː
boscia;b @U s tS @;boʊs?ə
snackwell's;s n { k w E l z;snækwɛlz
hypersonic;h aI p 3:r s A n i k;h?pɜ:rsɑnik
studeman;s t u d m @ n;studmən
roiled;r\ OI l d;ɹ?ld
meyer's;m aI 3:r z;m?ɜ:rz
marlowe;m A r\ l @U;mɑɹloʊ
cycle;s aI k @ l;s?kəl
mcrae;m @ k r\ eI;məkɹ?
saturns;s { 4 3:r n z;sæɾɜ:rnz
vive(2);v aI v;v?v
bowie;b @U i:;boʊiː
investment;i n v E s t m @ n t;invɛstmənt
contiguous;k @ n t I g j u @ s;kəntɪgjuəs
camelot;k { m @ l A t;kæməlɑt
fatima(2);f { 4 i m @;fæɾimə
wolfman;w U l f m @ n;wʊlfmən
schamel;S { m @ l;ʃæməl
deno;d i: n @U;diːnoʊ
hungry;h V N g r\ i:;hʌŋgɹiː
deitch;d aI tS;d??
submitting;s @ b m I 4 i N;səbmɪɾiŋ
tulips;t u l @ p s;tuləps
swatching;s w A tS i N;swɑ?iŋ
dearden;d I r\ d @ n;dɪɹdən
sorcerer;s O: r\ s 3:r 3:r;sOːɹsɜ:rɜ:r
synthesizer;s I n T @ s aI z 3:r;sɪnθəs?zɜ:r
eider;aI d 3:r;?dɜ:r
overdependence;@U v 3:r 4 i p E n d @ n s;oʊvɜ:rɾipɛndəns
invaders;i n v eI 4 3:r z;inv?ɾɜ:rz
surmount;s 3:r m aU n t;sɜ:rm?nt
fenwood;f E n w U d;fɛnwʊd
alatorre;A l A t O: r\ i:;ɑlɑtOːɹiː
hellenbrand;h E l @ n b r\ { n d;hɛlənbɹænd
duncombe;d V N k @ m;dʌŋkəm
mammogram;m { m @U g r\ { m;mæmoʊgɹæm
leeder;l i: 4 3:r;liːɾɜ:r
willenbring;w I l @ n b r\ I N;wɪlənbɹɪŋ
heiman;h aI m @ n;h?mən
yoking;j @U k i N;joʊkiŋ
licked;l I k t;lɪkt
turchin;t 3:r tS i n;tɜ:r?in
employ;E m p l OI;ɛmpl?
wilhelmina;w I l h E l m i: n @;wɪlhɛlmiːnə
doubtfire;d aU t f aI 3:r;d?tf?ɜ:r
fornal;f O: r\ n @ l;fOːɹnəl
jaunty;dZ O: n t i:;?Oːntiː
parlow;p A r\ l @U;pɑɹloʊ
chaldees;tS A l d i: z;?ɑldiːz
pickler(2);p I k l 3:r;pɪklɜ:r
mcnew;m @ k n u;məknu
bechtol;b E k t @ l;bɛktəl
mishandle;m i s h { n d @ l;mishændəl
pored;p O: r\ d;pOːɹd
bolshevism;b @U l S @ v I z @ m;boʊlʃəvɪzəm
americus;@ m E r\ i k @ s;əmɛɹikəs
project's;p r\ A dZ E k t s;pɹɑ?ɛkts
uncomfortableness;@ n k V m f 3:r 4 @ b @ l n @ s;ənkʌmfɜ:rɾəbəlnəs
uncomplete;V n k @ m p l i: t;ʌnkəmpliːt
counteracting;k aU n t 3:r { k t i N;k?ntɜ:ræktiŋ
rebuffing;r\ i: b V f i N;ɹiːbʌfiŋ
w;j;j
doldrums;d @U l d r\ @ m z;doʊldɹəmz
romance;r\ @U m { n s;ɹoʊmæns
sibyl;s I b @ l;sɪbəl
uhlman;u l m @ n;ulmən
schluter;S l u 4 3:r;ʃluɾɜ:r
whiplashes(2);h w I p l { S @ z;hwɪplæʃəz
hockey's;h A k i: z;hɑkiːz
flax;f l { k s;flæks
centerre;s E n t 3:r;sɛntɜ:r
spirits(2);s p I r\ i t s;spɪɹits
bored;b O: r\ d;bOːɹd
wickes's;w I k s i z;wɪksiz
villette;v i l E t;vilɛt
crean;k r\ i: n;kɹiːn
conquests;k A n k w E s t s;kɑnkwɛsts
mamet;m { m @ t;mæmət
unwrapping;@ n r\ { p i N;ənɹæpiŋ
hybrid;h aI b r\ @ d;h?bɹəd
salinas;s @ l i: n @ s;səliːnəs
mccollum;m @ k O: l @ m;məkOːləm
zea;z i:;ziː
interesting(2);I n t r\ i s t i N;ɪntɹistiŋ
loaiza;l @U A i: z @;loʊɑiːzə
conferees;k A n f 3:r i: z;kɑnfɜ:riːz
infant's;I n f @ n t s;ɪnfənts
spirituality;s p I r\ i tS @ w { l @ 4 i:;spɪɹi?əwæləɾiː
wasmuth;w O: z m u T;wOːzmuθ
teutsch;t OI tS;t??
apostles;@ p A s @ l z;əpɑsəlz
glandon;g l { n d @ n;glændən
brutsche;b r\ V tS i:;bɹʌ?iː
pennzoil's;p E n z OI l z;pɛnz?lz
models';m A 4 @ l z;mɑɾəlz
moviegoing;m u v i: g @U i N;muviːgoʊiŋ
sharansky;S 3:r { n s k i:;ʃɜ:rænskiː
hike;h aI k;h?k
those;D @U z;ðoʊz
nicaragua's;n I k 3:r A g w @ z;nɪkɜ:rɑgwəz
lanzillo;l { n z I l @U;lænzɪloʊ
yao;j aU;j?
minervini;m i: n 3:r v i: n i:;miːnɜ:rviːniː
disproportion;d I s p r\ @ p O: r\ S @ n;dɪspɹəpOːɹʃən
sanctify;s { N k t @ f aI;sæŋktəf?
grohs;g r\ @U s;gɹoʊs
lunden;l V n d @ n;lʌndən
rotberg;r\ A t b 3:r g;ɹɑtbɜ:rg
raincoat's;r\ eI n k @U t s;ɹ?nkoʊts
fixes;f I k s i z;fɪksiz
conolly;k A n @U l i:;kɑnoʊliː
spruce;s p r\ u s;spɹus
sethi;s E T i:;sɛθiː
newsreel;n u z r\ i: l;nuzɹiːl
hirulog;h I r\ u l A g;hɪɹulɑg
fortunate;f O: r\ tS @ n @ t;fOːɹ?ənət
woodlands;w U d l { n d z;wʊdlændz
scialabba;s k O: l A b @;skOːlɑbə
pessin;p E s i n;pɛsin
rospatch;r\ O: s p { tS;ɹOːspæ?
rodin(2);r\ @U d { n;ɹoʊdæn
arent;A r\ @ n t;ɑɹənt
dimock;d I m @ k;dɪmək
hemo;h i: m @U;hiːmoʊ
instinet;I n s t i n E t;ɪnstinɛt
rowes;r\ @U z;ɹoʊz
nato;n eI 4 @U;n?ɾoʊ
naqvi(2);n A k v i:;nɑkviː
jopp;dZ A p;?ɑp
turbotax;t 3:r b @U t { k s;tɜ:rboʊtæks
contents;k A n t E n t s;kɑntɛnts
rainforests;r\ aI n f O: r\ @ s t s;ɹ?nfOːɹəsts
eap;i: eI p i:;iː?piː
starplex;s t A r\ p l E k s;stɑɹplɛks
brahma;b r\ A m @;bɹɑmə
khufu;k u f u;kufu
malueg;m { l U g;mælʊg
bowker;b @U k 3:r;boʊkɜ:r
degree;d i g r\ i:;digɹiː
mekeel;m E k i: l;mɛkiːl
laske;l eI s k;l?sk
weyerhaeuser;w E r\ h aU z 3:r;wɛɹh?zɜ:r
hersom;h 3:r s @ m;hɜ:rsəm
deighton;d eI t @ n;d?tən
investigations;i n v E s t @ g eI S @ n z;invɛstəg?ʃənz
facey;f eI s i:;f?siː
omnibook;A m n i b U k;ɑmnibʊk
described;d i s k r\ aI b d;diskɹ?bd
wasielewski;v @ s i: l E f s k i:;vəsiːlɛfskiː
overtaking;@U v 3:r t eI k i N;oʊvɜ:rt?kiŋ
seemingly;s i: m i N l i:;siːmiŋliː
prix;p r\ i:;pɹiː
orangina;O: r\ { n dZ i: n 3:r;Oːɹæn?iːnɜ:r
inherit;i n h E r\ @ t;inhɛɹət
gilchrest;g I l k 3:r i s t;gɪlkɜ:rist
tolhurst;t @U l h 3:r s t;toʊlhɜ:rst
untidily;@ n t aI 4 @ l i:;ənt?ɾəliː
pineiro;p i: n E r\ @U;piːnɛɹoʊ
bunda;b V n d @;bʌndə
reinsurers;r\ i: i n S U r\ 3:r z;ɹiːinʃʊɹɜ:rz
goodhue;g U d h j u;gʊdhju
leases;l i: s i z;liːsiz
runk;r\ V N k;ɹʌŋk
demont;d E m @ n t;dɛmənt
prom;p r\ A m;pɹɑm
relaxing;r\ i l { k s i N;ɹilæksiŋ
radella;r\ @ d E l @;ɹədɛlə
gait;g eI t;g?t
fehl;f E l;fɛl
originating;3:r I dZ @ n eI 4 i N;ɜ:rɪ?ən?ɾiŋ
mclish;m @ k l I S;məklɪʃ
seneff;s E n @ f;sɛnəf
enthralment;E n T r\ O: l m @ n t;ɛnθɹOːlmənt
siniard;s I n i: 3:r d;sɪniːɜ:rd
deliberating;d i l I b 3:r eI 4 i N;dilɪbɜ:r?ɾiŋ
porth;p O: r\ T;pOːɹθ
knudsen's;n u d s @ n z;nudsənz
conscious;k A n S @ s;kɑnʃəs
began;b i g { n;bigæn
mccaghren;m @ k { g r\ @ n;məkægɹən
gratuitously;g r\ @ t u @ 4 @ s l i:;gɹətuəɾəsliː
oster;A s t 3:r;ɑstɜ:r
cramer's;k r\ eI m 3:r z;kɹ?mɜ:rz
hoddur;h A 4 3:r;hɑɾɜ:r
pulpwood;p V l p w U d;pʌlpwʊd
coltec;k @U l t E k;koʊltɛk
cutcher;k V tS 3:r;kʌ?ɜ:r
wash(2);w O: S;wOːʃ
farrow's;f E r\ @U z;fɛɹoʊz
schul;S U l;ʃʊl
ginsburg's;g I n z b 3:r g z;gɪnzbɜ:rgz
eagar;i: g 3:r;iːgɜ:r
valois;v { l w A;vælwɑ
buddin;b V d i n;bʌdin
goodyear's;g U d j i r\ z;gʊdjiɹz
marvels;m A r\ v @ l z;mɑɹvəlz
metaphorical;m E 4 @ f O: r\ i k @ l;mɛɾəfOːɹikəl
quassia;k w A S i: @;kwɑʃiːə
browning's;b r\ aU n i N z;bɹ?niŋz
saline;s @ l i: n;səliːn
teens;t i: n z;tiːnz
abdo;{ b d @U;æbdoʊ
curved;k 3:r v d;kɜ:rvd
riga;r\ i: g @;ɹiːgə
aligns;@ l aI n z;əl?nz
lal;l { l;læl
gaspar;g { s p 3:r;gæspɜ:r
ingrid;I N g r\ i d;ɪŋgɹid
moneymakers;m V n i: m eI k 3:r z;mʌniːm?kɜ:rz
cato;k eI 4 @U;k?ɾoʊ
willing;w I l i N;wɪliŋ
misjudges;m i s dZ V dZ i z;mis?ʌ?iz
reflects;r\ i f l E k t s;ɹiflɛkts
textile;t E k s t aI l;tɛkst?l
jefferson's;dZ E f 3:r s @ n z;?ɛfɜ:rsənz
monuments(2);m A n j u m @ n t s;mɑnjumənts
homologous;h @ m A l @ g @ s;həmɑləgəs
noah;n @U @;noʊə
brixius;b r\ aI k s i: i s;bɹ?ksiːis
c4;s i: f O: r\;siːfOːɹ
businessperson;b I z n @ s p 3:r s @ n;bɪznəspɜ:rsən
clenney;k l E n i:;klɛniː
blowed;b l @U d;bloʊd
resemblance(2);r\ i: z E m b l @ n s;ɹiːzɛmbləns
dedham;d E 4 @ m;dɛɾəm
weathermen;w E D 3:r m E n;wɛðɜ:rmɛn
systemhouse;s I s t @ m h aU s;sɪstəmh?s
submarine's;s V b m 3:r i: n z;sʌbmɜ:riːnz
trib;t r\ I b;tɹɪb
enjoying(2);i n dZ OI i N;in??iŋ
unnaturally(3);@ n { tS 3:r l i:;ənæ?ɜ:rliː
swamp(2);s w O: m p;swOːmp
cotto;k @U 4 @U;koʊɾoʊ
whaley;w eI l i:;w?liː
profile;p r\ @U f aI l;pɹoʊf?l
mundi;m V n d i:;mʌndiː
productivity(2);p r\ @U 4 @ k t I v i 4 i:;pɹoʊɾəktɪviɾiː
editorial;E 4 @ t O: r\ i: @ l;ɛɾətOːɹiːəl
wipers;w aI p 3:r z;w?pɜ:rz
zajic;z { dZ i k;zæ?ik
feeley;f i: l i:;fiːliː
kalamazoo;k { l @ m @ z u;kæləməzu
markus;m A r\ k @ s;mɑɹkəs
sarge;s A r\ dZ;sɑɹ?
lifland;l I f l @ n d;lɪflənd
shimbun(2);S I m b u n;ʃɪmbun
upgrader;V p g r\ eI 4 3:r;ʌpgɹ?ɾɜ:r
ich;I tS;ɪ?
hampered;h { m p 3:r d;hæmpɜ:rd
refuted;r\ i f j u 4 i d;ɹifjuɾid
bemusement;b E m j u s m @ n t;bɛmjusmənt
certifying;s 3:r 4 @ f aI i N;sɜ:rɾəf?iŋ
mayor's;m eI 3:r z;m?ɜ:rz
johnnie's;dZ A n i: z;?ɑniːz
locicero;l @U tS i: tS E r\ @U;loʊ?iː?ɛɹoʊ
equalizing;i: k w @ l aI z i N;iːkwəl?ziŋ
sobriquet(2);s V b r\ @ k E t;sʌbɹəkɛt
gekko;g E k @U;gɛkoʊ
incentive;i n s E n t i v;insɛntiv
telectronics;t E l @ k t r\ A n i k s;tɛləktɹɑniks
althoff;{ l t h O: f;ælthOːf
overmatched;@U v 3:r m { tS t;oʊvɜ:rmæ?t
bruster;b r\ V s t 3:r;bɹʌstɜ:r
brosius;b r\ @U s i: i s;bɹoʊsiːis
earnin';3:r n i n;ɜ:rnin
lanzo;l { n z @U;lænzoʊ
celano;tS E l A n @U;?ɛlɑnoʊ
stopgap;s t A p g { p;stɑpgæp
jacobus;dZ @ k @U b @ s;?əkoʊbəs
lackman;l { k m @ n;lækmən
